category,isbn,book_title,author_first_name,author_last_name,author_biography,publisher_name,publisher_city,publisher_country,chapter_title,chapter_content
fiction,978-1234567890,The Great Novel,John,Doe,John Doe is a renowned author with a passion for storytelling.,Book Publishers Inc.,New York,USA,Chapter 1: The Beginning,It was a dark and stormy night when our story began.
fiction,978-1234567890,The Great Novel,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Book Publishers Inc.,New York,USA,Chapter 1: The Beginning,It was a dark and stormy night when our story began.
fiction,978-1234567890,The Great Novel,John,Doe,John Doe is a renowned author with a passion for storytelling.,Book Publishers Inc.,New York,USA,Chapter 1: The Beginning,"The wind howled through the trees, setting the stage for an unforgettable adventure."
fiction,978-1234567890,The Great Novel,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Book Publishers Inc.,New York,USA,Chapter 1: The Beginning,"The wind howled through the trees, setting the stage for an unforgettable adventure."
fiction,978-1234567890,The Great Novel,John,Doe,John Doe is a renowned author with a passion for storytelling.,Book Publishers Inc.,New York,USA,Chapter 2: The Journey,Our heroes set out on a perilous journey across treacherous lands.
fiction,978-1234567890,The Great Novel,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Book Publishers Inc.,New York,USA,Chapter 2: The Journey,Our heroes set out on a perilous journey across treacherous lands.
fiction,978-1234567890,The Great Novel,John,Doe,John Doe is a renowned author with a passion for storytelling.,Book Publishers Inc.,New York,USA,Chapter 2: The Journey,Little did they know the challenges that awaited them beyond the horizon.
fiction,978-1234567890,The Great Novel,John,Doe,He has written several bestsellers and continues to inspire readers worldwide.,Book Publishers Inc.,New York,USA,Chapter 2: The Journey,Little did they know the challenges that awaited them beyond the horizon.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Tech Books Co.,San Francisco,USA,Chapter 1: Introduction to XML,XML has become an essential part of modern data management.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Her work has revolutionized how we think about organizing information.,Tech Books Co.,San Francisco,USA,Chapter 1: Introduction to XML,XML has become an essential part of modern data management.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Tech Books Co.,San Francisco,USA,Chapter 1: Introduction to XML,"In this chapter, we explore the basics and history of XML."
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Her work has revolutionized how we think about organizing information.,Tech Books Co.,San Francisco,USA,Chapter 1: Introduction to XML,"In this chapter, we explore the basics and history of XML."
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Tech Books Co.,San Francisco,USA,Chapter 2: Advanced XML Techniques,Delve into the intricacies of XML schemas and transformations.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Her work has revolutionized how we think about organizing information.,Tech Books Co.,San Francisco,USA,Chapter 2: Advanced XML Techniques,Delve into the intricacies of XML schemas and transformations.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Jane Smith is a leading expert in XML and data structures.,Tech Books Co.,San Francisco,USA,Chapter 2: Advanced XML Techniques,Learn how to leverage XML for complex data structures and integrations.
non-fiction,978-0987654321,The Art of XML,Jane,Smith,Her work has revolutionized how we think about organizing information.,Tech Books Co.,San Francisco,USA,Chapter 2: Advanced XML Techniques,Learn how to leverage XML for complex data structures and integrations.
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Mystery House Publishing,London,UK,Chapter 1: The Mysterious Letter,Detective Sarah Blake stared at the cryptic message on her desk.
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Her mysteries have captivated readers around the globe.,Mystery House Publishing,London,UK,Chapter 1: The Mysterious Letter,Detective Sarah Blake stared at the cryptic message on her desk.
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Mystery House Publishing,London,UK,Chapter 1: The Mysterious Letter,"Little did she know, this letter would lead her into a web of international espionage."
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Her mysteries have captivated readers around the globe.,Mystery House Publishing,London,UK,Chapter 1: The Mysterious Letter,"Little did she know, this letter would lead her into a web of international espionage."
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Mystery House Publishing,London,UK,Chapter 2: Decoding the Past,"As Sarah delved deeper into the case, she uncovered a decades-old conspiracy."
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Her mysteries have captivated readers around the globe.,Mystery House Publishing,London,UK,Chapter 2: Decoding the Past,"As Sarah delved deeper into the case, she uncovered a decades-old conspiracy."
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Emily Johnson is a master of suspense and intrigue in her writing.,Mystery House Publishing,London,UK,Chapter 2: Decoding the Past,"The truth, she realized, was hidden in plain sight all along."
mystery,978-5678901234,The Enigma Code,Emily,Johnson,Her mysteries have captivated readers around the globe.,Mystery House Publishing,London,UK,Chapter 2: Decoding the Past,"The truth, she realized, was hidden in plain sight all along."
